title,description,salary,date_posted
Everlight Solar,Data Analyst (Remote),"$65,000 - $100,000 a year",1 day ago
CareOregon,IS Data Security Architect,"$120,000 - $145,200 a year",4 days ago
"Everlight Solar, LLC",Data Analyst (Remote),"$65,000 - $100,000 a year",1 day ago
US Government Other Agencies and Independent...,Data Scientist,$9 - $14,1 day ago
Laylo,Data Analyst,"$100,000 - $160,000 a year",2 days ago
NiSource,Data Governance Manager - Platform Administration,"$125,800 - $188,600 a year",1 day ago
Capital One,"Senior Associate Data Scientist, Audit Data Science","$133,200 - $152,000 a year",13 days ago
CBit Technologies,Remote - Data Warehouse Developer,$70,24 days ago
Moody's,Director - Data Engineering,"$168,854 - $235,100 a year",7 days ago
Baystate Health,Business Data Analyst,Up to $25 an hour,2 days ago
Autodesk,Principal Data Security Engineer,"$159,800 - $258,500",12 days ago
Cognizant,Technical Lead - Data Build Tool (Remote),"$130,000 - $145,000 a year",Today
The Ash Group,Data Scientist,$53 - $84 an hour,2 days ago
Job On Remote Online USA,Data Entry Clerk Specialist,$23 - $33 an hour,27 days ago
University of Texas,Lead Data ETL Engineer,"$115,000 a year",Today
Genesis Corp./New Journey AI LLC,Sr Clinical Data Manager,"$100,000 - $125,000 a year",12 days ago
Harnham,Sr. Data Analyst (Entertainment),$55 - $65,4 days ago
CHG Medical Staffing,Sr. Manager of Enterprise Data Governance - Temp,"$64,900 - $157,100 a year",3 days ago
Capital Group,Data Governance Manager Senior,"$171,968 - $292,346",30+ days ago
,Technical Lead - Data Build Tool (Remote),"$130,000 - $145,000 a year",Today
Booz Allen Hamilton Inc,Technical Data Manager,"$96,600 - $220,000 a year",11 days ago
Medix Technology,Data Integration Engineer #215960,"$120,000 - $130,000 a year",30+ days ago
Booz Allen Hamilton,Data Engineer Streaming Specialist,"$96,600 - $220,000 a year",Today
The Hartford,Data Engineer - Hybrid,"$97,600 - $146,400 a year",30+ days ago
UnitedHealth Group,Caboodle / Clarity Data Engineer - Remote,$34 - $66,10 days ago
Booz Allen Hamilton,Data and Tableau Analyst,"$60,400 - $137,000 a year",15 days ago
BCforward,Financial Data Scientist,"$80,000 - $100,000 a year",12 days ago
"Public Consulting Group, Inc",Data Architect - Military Veterans,"$115,000 - $135,000 a year",11 days ago
"RIT Solutions, Inc",Business Analyst/Data Analyst,"$125,000 - $150,000 a year",12 days ago
Humana,Senior Data Scientist,"$144,300 a year",Today
IQVIA,(Senior) Data Team Lead,"$84,400 - $160,500 a year",1 day ago
Takeda Pharmaceuticals,"Director, External Data Execution & Governance","$169,400 - $266,200",1 day ago
"Base-2 Solutions, LLC",Data Scientist,"$150,000 - $200,000 a year",12 days ago
Job On Remote Online USA,Data Entry Administrator,$35 - $52 an hour,27 days ago
Chegg,Data Analytics/Data Science Curriculum Writer/Subject Matter Expert...,$40 - $120 an hour,2 days ago
"Frequence, Inc",Data Analyst,"$65,000 - $75,000 a year",2 days ago
 - National Science Foundation,Supervisory Data and Analytics Officer,"$160,889 - $204,000 a year",Today
Mastercard,Senior Data Scientist,"$138,000 - $221,000 a year",1 day ago
Leidos,Data Systems Engineer Senior,"$101,400 - $183,300 a year",13 days ago
CVS Health,"Lead Director, Data Engineering","$144,200 - $288,400 a year",1 day ago
ViacomCBS Streaming,"Manager, Data Solutions","$135,000 a year",17 days ago
Humana Inc,Senior Data Scientist,"$104,800 - $144,300 a year",1 day ago
Avanade,Future Opportunity- Senior Azure Data Engineer,"$140,250 - $165,000 a year",Today
Harnham,Data Analyst (Marketing),$60 - $80,2 days ago
Esri,Sr. Enterprise Data Engineer - Enterprise Data Management and...,"$114,400 - $218,400 a year",4 days ago
CENTRAL FLORIDA BEHAVIORAL HEALTH,Behavioral Health Data Analyst,"$55,000 - $63,000 a year",2 days ago
System One,Data Entry Coordinator (Salesforce),"$80,000 - $100,000 a year",12 days ago
Everlight Solar,Data Analyst Remote,"$65,000 - $100,000 a year",Today
Siemens Digital Industries Software,Data Scientist - Remote,$39 - $70,20 days ago
CVS Health,"Manager - Data Security Governance, Data Protection Services","$92,700 - $185,400 a year",30+ days ago
Innova Solutions,Financial Data Scientist,$53 - $55 an hour,4 days ago
Booz Allen Hamilton,"Data Architect, Senior Manager","$122,200 - $227,000 a year",11 days ago
Verizon,Data Science Principal Engineer,"$126,000 - $234,000 a year",4 days ago
wati,Azure Data Engineer,"$60,000 - $130,000 a year",20 days ago
Citigroup,Data Science Lead Analyst,"$163,238 a year",2 days ago
,"Data Analyst, Developer Operations","$143,557 - $168,520 a year",2 days ago
"Base-2 Solutions, LLC",Data Scientist Level 3,"$80,000 - $100,000 a year",12 days ago
General Dynamics,Data Engineer - Navsup OIS - Remote,"$120,700 - $163,300 a year",1 day ago
Arrive Health,Data Analyst,"$95,000 - $105,000 a year",Today
Wake Forest,"Data Collector, Implementation Science",$18.5 an hour,Today
Texas Water Development Board,24-83 - Hydrometeorology Data Products Team Lead (Data Analyst V),"$6,074 - $7,784 a month",18 days ago
Autodesk,Innovation Marketing Senior Data Analyst,"$112,200 - $181,610",2 days ago
Circle,Senior Data Scientist,"$147,500 - $195,000 a year",2 days ago
APN Consulting Inc,Data Analyst I,$47 an hour,16 days ago
State of California,Research Data Analyst II,"$6,265 - $7,848 a month",1 day ago
Albertsons Companies,Data Systems Administrator,"$72,100 - $93,640 a year",9 days ago
Autodesk,Lifecycle Marketing Data Analyst,"$82,900 - $143,000",1 day ago
Booz Allen Hamilton Inc,Tech Excellence Data Visualization Analyst,"$60,300 - $137,000 a year",1 day ago
GovCIO,Sr. Data Solutions Architect/Team Lead (Remote),"$140,000 - $170,000 a year",Today
,Senior Software Development Manager - Big Data,"$196,400 - $313,700 a year",Today
Zillow,Senior Software Development Manager - Big Data,"$196,400 - $313,700 a year",Today
,Part Time Data Entry Specialist,$18 - $22 an hour,Today
Capital Group,Data Product Manager Principal,"$193,464 - $328,889",16 days ago
Genex Services,Data Analytics Supervisor,"$98,000 - $125,000 a year",3 days ago
Scion Staffing,Data Analyst,"$200,000 - $250,000 a year",12 days ago
"ezCater, Inc",Senior Data Engineer,"$141,000 - $175,000 a year",30+ days ago
Biogen,Senior Clinical Data Manager (2 Position),"$85,000 - $127,000 a year",1 day ago
CVS Health,Principal Software Engineer Data Platforms,"$140,000 - $280,000 a year",26 days ago
Harnham,TS/SCI Data Scientist,"$150,000 - $180,000 a year",4 days ago
Atlassian,Principal Data Scientist,"$201,300 - $268,400 a year",4 days ago
GEICO,Principal Engineer II - Data Movement/Data Lakehouse,"$110,000 - $236,500 a year",2 days ago
Dodge Construction Network,Planning Data Specialist III (West),"$45,000 - $65,000 a year",2 days ago
Booz Allen Hamilton,Data Catalog Administrator,"$96,600 - $220,000 a year",22 days ago
Orange Comet,Senior Data Analyst,"$100,000 - $125,000 a year",Today
"BioSpace, Inc","Director, External Data Execution & Governance","$169,400 - $266,200",2 days ago
Plante Moran,Technical Manager of Data Warehousing,"$10,500 - $15,708",1 day ago
ICF,Data Quality Analyst,"$57,737 - $98,153 a year",1 day ago
ICF,Senior Data Processing Specialist,"$96,367 - $163,825 a year",2 days ago
ClassDojo,Staff Data Platform Engineer,"$171,500 - $244,000 a year",2 days ago
Job On Remote Online USA,Data Entry Analyst,$33 - $45 an hour,27 days ago
Job On Remote Online USA,Data Entry Clerk Remote,$25 - $40 an hour,27 days ago
CVS Health,Data Scientist - Otchs,"$82,915 - $175,100 a year",4 days ago
Vaco,Data Scientist,"$80,000 - $100,000 a year",12 days ago
Autodesk,Data Analyst,"$200,000 - $250,000 a year",12 days ago
Galvanize USA,Research & Data Associate,"$100,000 - $125,000 a year",12 days ago
State of Oklahoma,Lead Data Analyst,"$21,099 a year",1 day ago
Humana,"Associate Director, Data Governance","$174,500 a year",11 days ago
Five Maples,Data Processing Specialist,$19 - $21 an hour,4 days ago
sei — stockholm environment institute,GIS Map Developer & Data Management Intern,$19 - $26 an hour,1 day ago
ManTech International,SME Data Engineer,"$155,200 - $257,900 a year",16 days ago
Booz Allen Hamilton,Java Data Engineer,"$75,600 - $172,000 a year",23 days ago
,Senior Data Scientist,"$144,300 a year",Today
Russell Tobin,Entry Level Data Analyst,$20 an hour,Today
ConsultNet,Data Engineer - Remote,"$130,000 - $150,000 a year",1 day ago
Workoo Technologies,Data Entry Clerk,$35 an hour,27 days ago
Banfield Pet Hospital,Data Migration Engineer (Mars Veterinary Health),"$93,707 - $128,847 a year",1 day ago
"American Auto Shield, Inc",Jr Data Warehouse Developer,"$65,000 - $70,000 a year",3 days ago
TMV Global Inc,Data Analyst | Freddie Mac,$55 - $60 an hour,25 days ago
ICF,Senior Child Welfare Data Analyst (on-CALL) - Remote,"$69,862 - $118,765 a year",1 day ago
Leidos,Data Acquisition Specialist,"$61,750 - $111,625 a year",30+ days ago
State of Maine,Supervisor for Data & Quality,"$56,722 - $77,022 a year",1 day ago
randstad,Data Center Site Engineer,$25 - $29 an hour,3 days ago
CG ONCOLOGY Inc,"Senior Manager, Data Management","$165,000 - $175,000 a year",1 day ago
Stryker,Senior Manager - Customer Intelligence Data Governance (Remote),"$109,500 - $232,900 a year",4 days ago
"Humana, Inc",Senior Data Scientist,"$144,300 a year",1 day ago
Indiana University,"Data Analyst, Pediatrics Children's Health Services Research","$65,000 - $75,000 a year",4 days ago
Alera Group,Data Integration Specialist,"$65,000 a year",11 days ago
Booz Allen Hamilton,Tech Excellence Data Visualization Analyst,"$60,300 - $137,000 a year",Today
Refine Recruiting Agency,Entry Level Data Entry Clerk (100% Remote),$30 - $40 an hour,1 day ago
Stryker,Senior Staff Clinical Data Manager (Remote),"$98,000 - $210,100 a year",9 days ago
SSI,Data Storage Administrator,"$90,000 - $110,000 a year",26 days ago
Pfizer,Staff Analytics Data Engineer - Commercial Analytics Engineering,"$149,200 - $248,600 a year",2 days ago
Rover.com,Senior Data Scientist,"$150,000 - $200,000 a year",12 days ago
Insight Global,Product Owner Data Analytics,$50 - $55 an hour,4 days ago
UNC Health Care Systems,Credentialing Data Analyst - Centralized Credentialing Office,$25.94 - $37.29 an hour,1 day ago
The Hartford,"Director, Data Engineering Personal Lines Lead","$148,720 - $223,080 a year",5 days ago
Cambia Health Solutions,Data & Analytics Clinical Product Manager - R-4669_40483885656_0-4185,"$124,000 - $203,000 a year",Today
University of Texas,Data ETL Engineer,"$110,000 - $125,000 a year",23 days ago
NextDeavor,"Data Scientist, Product Insights","$150,000 - $200,000 a year",12 days ago
CyberTec,Sr Data Scientist,"$80,000 - $100,000 a year",12 days ago
,Senior Business Data Analysts,"$138,431 - $169,500 a year",1 day ago
Booz Allen Hamilton,RF Data Scientist,"$75,600 - $172,000 a year",11 days ago
TransUnion,"Consultants, Data Science and Analytics","$80,000 a year",7 days ago
Samsara,Senior Product Manager - Data,"$125,000 - $150,000 a year",12 days ago
Guardian Life Insurance Company,Senior Data Analyst - NY/NJ ONLY,"$114,080 - $187,415 a year",Today
DCI Solutions,Data Scientist/Manager (PJ),"$150,000 - $190,000 a year",11 days ago
Dolby,Lead Data/ML Architect,"$144,600 - $176,700 a year",10 days ago
Capital One,Principal Data Analyst (Remote),"$113,600 - $129,700 a year",Today
Leidos,"Data Engineer, Technical Lead","$122,200 - $220,900 a year",19 days ago
Leidos,Data Analyst,"$55,250 - $99,875 a year",29 days ago
Department of Homeland Security - of the...,Data Scientist - Direct Hire,"$72,553 - $155,034 a year",Today
Everlight Solar,Domo Data Analyst (Remote),"$65,000 - $100,000 a year",1 day ago
"Chegg, Inc",Data Analytics/Data Science Curriculum Writer/Subject Matter Expert...,$40 - $120 an hour,1 day ago
"Everlight Solar, LLC",Domo Data Analyst (Remote),"$65,000 - $100,000 a year",1 day ago
Citi,Data Quality Analytics and Reporting Lead Analyst,"$139,660 a year",1 day ago
Strategic Innovation Group LLC,Financial Data Analyst,"$13,500 - $115,000",3 days ago
"The TJX Companies, Inc",Data Analyst- Customer Service,"$66,500 - $83,100 a year",Today
General Dynamics,Data Science Solution Architect,"$176,446 - $218,500 a year",1 day ago
Recruit Monitor,Remote Data Entry Clerk / Part-Time,$15 - $18 an hour,Today
CVS Health,Associate Data Engineer,"$55,620 - $131,800 a year",11 days ago
AMS Staffing Inc,Performance Data Engineer- 2018717,$62.5 - $85.0 an hour,2 days ago
ServiceNow,Senior Data Engineer,"$137,000 - $233,000 a year",2 days ago
Guardian Life Insurance Co. of America,"Data Analytics Lead, Individual Markets - Military Veterans","$146,010 - $239,880 a year",4 days ago
Job On Remote Online USA,Data Entry Operator,$25 - $40 an hour,27 days ago
Bayside Solutions,Data Platform Engineer,"$135,200 - $156,000 a year",2 days ago
Indiana University,"Data Analyst, Pediatrics Clinical Research Center","$65,000 - $75,000 a year",5 days ago
MixRank,Data Engineer - Global/Remote,"$10,000 - $60,000",15 days ago
Hamilton County,"Data & Analytics Manager, Developmental Disabilities Services","$76,300 a year",11 days ago
Talent Space,Sr. Marketing Data Analyst,"$150,000 - $200,000 a year",12 days ago
CVS Health,Senior Data Engineer - Enterprise Identity Services,"$92,700 - $201,900 a year",4 days ago
Texas State University,Data Visualization and GIS Specialist,"$3,794 a month",1 day ago
"THOR Solutions, LLC",Data Analyst/Tableau Specialist,$28 - $30 an hour,1 day ago
Guardian Life,Senior Data Analyst - NY/NJ ONLY,"$114,080 - $187,415 a year",1 day ago
Intermountain Health,Data Architect - Operations,$53.05 - $83.52 an hour,11 days ago
Saviance Technologies,Data Scientist with Longitudinal and Healthcare Experience,"$150,000 - $200,000 a year",12 days ago
Inland Empire Health Plan,Healthcare Data Analyst II (Hybrid),$58.13 an hour,1 day ago
Albertsons Companies,Sr. Data Product Manager,"$118,100 - $165,380",18 days ago
Booz Allen Hamilton,"Data Visualization Specialist, Mid","$60,400 - $137,000 a year",1 day ago
Cadmus,Drinking Water & Water Quality Data Analyst,"$60,000 a year",Today
M247,Data Center Networking Engineer,$55 - $95 an hour,Today
Nielsen,Data Engineer,"$168,854 a year",7 days ago
Booz Allen Hamilton,Data Analytics Lead (Security Clearance Required),"$96,600 - $220,000 a year",1 day ago
Booz Allen Hamilton,"Supply Chain Data Scientist, Senior","$110,100 - $250,000 a year",15 days ago
Rise Technical,Senior Data Scientist (Geospatial/Remote Sensing),"$120,000 - $150,000 a year",Today
Geisinger Health,Genomic Data Scientist Lead,"$100,000 - $125,000 a year",12 days ago
Innova Solutions,Data Management Analyst 4 - Contingent,$60 - $65 an hour,2 days ago
Booz Allen Hamilton,"Data Visualization Developer, Mid","$60,300 - $137,000 a year",13 days ago
Centene Corporation,Data Analyst II (Healthcare Analytics),"$54,000 - $97,100 a year",1 day ago
Sumitomo Mitsui Banking Corporation,Data Engineer - Capital Markets,"$96,000 - $143,000 a year",1 day ago
PepsiCo,"Associate Manager, Data Analytics","$85,200 - $142,650",11 days ago
"Blue Margin, Inc",Data Analytics Consultant II-III,"$75,000 - $95,000",2 days ago
Phaxis LLC,Associate People Analytics Data Engineering & Reporting,"$115,000 - $175,000 a year",1 day ago
,Drinking Water & Water Quality Data Analyst,"$60,000 a year",Today
Caring Connection,Administrative Data Entry/ Home Work Remote,$35 - $40 an hour,1 day ago
Takeda,"Director, External Data Execution & Governance","$169,400 - $266,200",9 days ago
United Nations Foundation,"Director, Gender Data, Data2x","$130,000 - $150,000 a year",16 days ago
Randstad US,Data Management Strat and Gov Advisor,$47.95 - $57.95 an hour,1 day ago
Chewy,"Senior Manager, Data Analytics","$129,500 - $207,000 a year",3 days ago
Booz Allen Hamilton Inc,Chief Technologist and Data Scientist,"$110,100 - $250,000 a year",11 days ago
Spectrum,Principal Data Architect,"$144,206 - $196,400 a year",20 days ago
Piper Companies,Medical Record Data Validation Specialist,$25 an hour,2 days ago
Esri,Enterprise Data/Integration Developer - Enterprise Data Management...,"$70,720 - $143,520 a year",15 days ago
Bristol Myers Squibb,"Data Integration Engineer, Principal Engineer","$130,000 - $163,000 a year",Today
Target,Senior Manager Process and Data,"$112,715 - $200,200 a year",Today
General Dynamics Information Technology,Cloud Data Architect,"$116,979 - $154,787 a year",1 day ago
LinkedIn,Senior Data Center Construction Manager,"$103,000 - $170,000",2 days ago
Ibotta,Data Privacy Engineer,"$90,000 - $120,000 a year",15 days ago
Hospital for Special Surgery,Data Scientist - HSS Orthopedic Data Innovation Lab,"$150,000 - $170,000 a year",28 days ago
Outlier,"Data Scientists - AI Training (Remote Work, Contract)","$80,000 - $100,000 a year",12 days ago
Booz Allen,RF Data Scientist,"$75,600 - $172,000 a year",11 days ago
Fidelity Investments,"Manager, Data Analytics and Insights","$101,075 - $121,700 a year",10 days ago
Apex Systems,Data Center Service Technician,$24 - $27 an hour,1 day ago
"Pyramid Consulting, Inc",Lead Data Scientist Engineer,$80 - $85 an hour,2 days ago
SAIC,Senior Data Analyst,"$100,001 - $125,000 a year",1 day ago
,Financial Data Analyst - Entry Level,$18.00 - $18.38 an hour,Today
Google LLC,Data Analytics and AI Sales Specialist,"$129,000 - $194,000 a year",1 day ago
CNH Industrial,Data Acquisition and Analysis Engineer,"$99,000 - $145,200 a year",8 days ago
Takeda,USBU DD&T Data Quality Sr. Manager,"$133,000 - $209,000",1 day ago
Mandli Communications,Data Processor,$15.5 an hour,4 days ago
Bering Straits Native Corporation (BSNC),Project Engineer Data Manager Specialist,"$119,000 a year",19 days ago
cbittech.com,Remote - Data Engineer,$60 - $65,19 days ago
Fidelity National Information Services,Data Warehouse Analyst Specialist,"$117,620 - $197,580 a year",11 days ago
The Tie,Data Scientist - Tie Labs (Crypto),"$100,000 - $130,000 a year",1 day ago
Quest Diagnostics,"Internship: Data Scientist, Health Informatics",$20 an hour,19 days ago
Citigroup Inc,Data Quality Analytics and Reporting Lead Analyst,"$139,660 a year",2 days ago
Hays Recruitment,Cloud Data Engineer (Remote),$65 - $73,2 days ago
"C-Star Solutions, LLC",Data Scientist,"$80,000 - $160,000 a year",11 days ago
Booz Allen Hamilton,R Shiny Data Scientist,"$75,600 - $172,000 a year",12 days ago
Booz Allen,Cloud Data Engineer,"$84,600 - $193,000 a year",11 days ago
,Data Analyst - Remote,"$100,000 a year",Today
iRhythm Technologies,"Data Coordinator, Field Support","$125,000 - $150,000 a year",12 days ago
irhythm,"Data Coordinator, Field Support","$38,300 - $53,100 a year",12 days ago
Anduril Industries,AUV Data & Infrastructure Engineer,"$120,000 - $180,000 a year",25 days ago
Humana,Value Based Program - Data & Reporting Lead,"$131,200 a year",Today
Trupanion,Data Insights Manager,"$100,000 - $110,000 a year",30+ days ago
Fisher Investments,Senior Data Engineer - Portfolio Management Group,"$150,000 - $175,000 a year",13 days ago
BWX Technologies Inc,Engineering Data Scientist,"$62,000 - $97,000 a year",1 day ago
LinkedIn,Staff Software Engineer - Data Applications,"$144,000 - $235,000",2 days ago
Mantech International Corporation,Salesforce Data Engineer,"$90,200 - $149,600 a year",1 day ago
Job On Remote Online USA,School Data Clerk,$32 - $45 an hour,27 days ago
randstad,"2 Data Engineers (Sql, Python, Teradata, Power Bi,...",$55 - $60 an hour,Today
Diverse Lynx,GCP Data Architect,"$250,000 a year",12 days ago
CVS Health,Senior Data Engineer - Real Time Data Services,"$97,335 - $201,900 a year",26 days ago
iWorks Corporation,Data Engineer,"$115,000 - $125,000",Today
Deutsche Bank,Senior Data Platform Engineer (M/F/X) - Corporate Banking (CB) Data...,"$125,000 - $203,000 a year",5 days ago
Takeda,"Lead Data Engineer, US RDBU","$96,600 - $151,800",9 days ago
Everlight Solar,Domo Data Analyst Remote,"$65,000 - $100,000 a year",2 days ago
Fora,"Product Specialist, Data & Operations","$65,000 - $75,000",2 days ago
Booz Allen Hamilton,Data Scientist and Operations Research Analyst,"$96,600 - $220,000 a year",1 day ago
Reddit,"Senior Software Engineer, Data Infrastructure","$190,800 - $267,100 a year",11 days ago
tanishasystems,Remote - Azure Data Engineer with Data Bricks,"$60,000 - $130,000 a year",24 days ago
MERU,"Solutions Architect, Data Insights","$150,000 - $175,000 a year",4 days ago
US Federal Deposit Insurance Corporation,Data Scientist,"$80,000 - $100,000 a year",12 days ago
Unreal Gigs,Data Engineer,"$140,000 - $210,000 a year",2 days ago
Kemper Corporation,Data Scientist,"$78,800 - $135,000 a year",11 days ago
ServiceNow,Senior Data Scientist,"$109,400 - $185,900 a year",2 days ago
Oscar Health,"Data Analytics, Internal Audit Manager","$97,200 - $127,575 a year",Today
Stanford University,Bioinformatician/Research Data Analyst,"$88,000 - $159,000 a year",1 day ago
AMS Staffing Inc,Data Engineer- 2018699,$62.5 - $85.0 an hour,2 days ago
University of Rochester,Health Data Coordinator IV,$18.89 - $25.51 an hour,Today
Discord,"Senior Staff Software Engineer, Data and ML Platform","$263,000 - $289,000 a year",1 day ago
,Data Scientist - Generative AI at Mayo Clinic,"$159,973 - $231,962 a year",3 days ago
Booz Allen Hamilton,AI Data Governance Lead,"$110,100 - $250,000 a year",11 days ago
General Dynamics,"Data Analyst Advisor, TS/SCI Wtih Polygraph Required","$144,500 - $195,500 a year",1 day ago
CrowdStrike,Data Center Technician,"$65,000 - $115,000 a year",3 days ago
CVS Health,"Senior Manager, Data Engineering - Enterprise Identity Services","$118,450 - $247,200 a year",4 days ago
Vantage,"Senior Software Engineer, Data Infrastructure","$140,000 - $200,000 a year",7 days ago
Capital One,"Sr. Manager, Product Management, Data Product Manager - Spend Data","$199,100 - $227,200 a year",26 days ago
Gartner,Senior Data Engineer - Information Security,"$96,000 - $130,500 a year",Today
"Everest Consultants, Inc",Sr. Healthcare Data Engineer (100% Remote Work),"$100,000 - $125,000 a year",12 days ago
Merck,Associate Director - Data Product Management,"$135,500 - $213,400 a year",1 day ago
The Excalibur Group,Accounting Data Analyst,"$100,000 - $110,000 a year",8 days ago
Cornell University,Marketing Data Analyst,"$60,692 - $70,534 a year",1 day ago
SoftPath Technologies LLC,"Remote - Data Engineer - Salt Lake City, Utah(Hybrid Only Locals)",$60 an hour,1 day ago
Carta Healthcare,Clinical Data Abstractor - GWTG - Part Time,$28 - $32 an hour,Today
Unreal Gigs,Data Analyst,"$100,000 - $130,000 a year",Today
tanishasystems,Databricks - Data Engineer 23-98188,"$130,000 a year",28 days ago
AtWork,Remote Researcher/Data Entry,$15 an hour,2 days ago
CVS Health,Data Scientist - Payment Accuracy,"$82,915 - $175,100 a year",26 days ago
Deutsche Bank,Cloud Data Platform Engineer - Assistant Vice President,"$100,000 - $142,250 a year",5 days ago
New York Edge,Data Entry Specialist,$20 - $25 an hour,1 day ago
Akkodis,Remote LIMS Master Data Specialist,$40 - $48,12 days ago
Trilon Group,Civic Data Analyst II,"$80,000 - $97,500 a year",2 days ago
Johns Hopkins University,Sr. Research Data Manager,"$55,200 - $96,600 a year",1 day ago
Takeda,"Associate Director, External Data Governance","$149,100 - $234,300",9 days ago
Albertsons Companies,"Manager Analytics, CRM Data & Insights","$105,900 - $137,580 a year",20 days ago
UnitedHealth Group / Optum Technology,Sr. Data Engineer – Remote,"$85,000 - $167,300 a year",10 days ago
,"Director - Audit Data, Analytics, & AI","$125,000 - $157,500 a year",Today
American Institutes for Research,Data Science Assistant,"$71,200 - $87,900 a year",11 days ago
Kaiser Permanente,"Data Reporting and Analytics Consultant III, Programming","$92,600 - $119,790 a year",12 days ago
CVS Health,Data Engineer - Store Ops Reporting,"$72,100 - $154,500 a year",3 days ago
Northrop Grumman,Principal/Sr. Principal Data Engineer,"$112,600 - $169,000 a year",27 days ago
Fidelity Investments,"Senior Manager, Data Science","$163,238 - $173,238 a year",14 days ago
Jefferson Frank,Data Engineer,"$80,000 - $90,000 a year",2 days ago
Discover Financial Services,Data Engineer (Multiple Openings) - IHM,"$109,242 - $161,000 a year",1 day ago
"Ringcentral, Inc","Director, Data Science","$194,600 - $278,000 a year",1 day ago
JT3,Data Analyst IV,"$81,286 - $135,200 a year",1 day ago
4 Staffing Corp,Senior Data Analytics Consultant,"$125,000 - $150,000 a year",12 days ago
Humana,Lead Data Product Manager,"$170,400 a year",Today
Walgreens,Analyst Data Analytics,"$60,600 - $97,200 a year",18 days ago
Eaton,Team Lead - Enterprise Data Assets- Palantir,"$136,500 - $190,000 a year",5 days ago
North Bridge Staffing Group,Data Center Engineer,$28 - $36 an hour,2 days ago
Rise Technical Recruitment,Junior Data Scientist (ML/Remote Sensing),"$70,000 - $100,000 a year",1 day ago
Randstad,"2 Data Engineers (Sql, Python, Teradata, Power Bi,...",$55 - $60 an hour,1 day ago
Booz Allen Hamilton,"Data Engineer, Mid (Security Clearance Required)","$60,400 - $137,000 a year",1 day ago
"Zachary Piper Solutions, LLC",Data Engineer - Clearance Required - TS/SCI,"$140,000 - $150,000",13 days ago
Cary Institute of Ecosystem Studies,Summer Intern - Environmental Data and Modeling,$20 an hour,1 day ago
Department Of Homeland Security,Data Science - Technical,"$104,000 - $207,500 a year",1 day ago
Opto,"Software Engineer, Data","$125,000 - $225,000 a year",1 day ago
CVS Health,Data Engineer - Enterprise Identity Services,"$72,100 - $154,500 a year",30+ days ago
UnitedHealth Group,Principal Data Scientist - Remote,"$104,700 - $190,400 a year",2 days ago
Humana,Data Manager Lead,"$144,300 a year",11 days ago
American Institutes for Research,Data Science Associate,"$83,200 - $102,000 a year",11 days ago
Providence Health & Service,Senior Data Scientist *Hybrid,"$150,000 - $200,000 a year",12 days ago
Aztec,"Staff Product Manager, Data Pipelines","$172,000 - $224,000 a year",4 days ago
Northrop Grumman,Sr. Principal Data System Architect,"$127,000 - $190,600 a year",23 days ago
Capital Group,Market Data Technologist Senior,"$123,999 - $198,398",15 days ago
The University of Texas at Austin,"Data Visualization Analyst, Dell Medical School","$62,128 a year",1 day ago
Booz Allen Hamilton,Supply Chain User Experience Data Scientist,"$110,100 - $250,000 a year",15 days ago
Cloud Think Technologies,Remote - Data Engineer/ETL Developer,$40 an hour,4 days ago
Sagimet Biosciences,Data Scientist II (Biomarkers),"$120,000 - $145,000",2 days ago
Inland Empire Health Plan,Engineer III - Test Data Management,$57 - $76,30+ days ago
ZP Group,Medical Record Data Validation Specialist,$25 an hour,11 days ago
ManTech International Corporation,Lead Data Analyst- Hybrid,"$125,000 - $150,000 a year",12 days ago
Chewy,Data Scientist II,"$115,500 - $183,500 a year",1 day ago
Make-A-Wish Foundation of Central and Western...,Data Manager - Salesforce,$23 - $27 an hour,Today
New York State Civil Service,Data and Information Technology Project Manager (Manager Information...,"$123,793 - $156,224 a year",1 day ago
Thor Solutions,Data Analyst/Tableau Specialist,"$150,000 - $200,000 a year",12 days ago
Mastercard,Lead Software Engineer/Data Engineer,"$138,000 - $221,000 a year",16 days ago
RTX Corporation,Data Tools Administrator (Immuta),"$77,000 - $163,000 a year",1 day ago
Tech Career Mentorship,Work from Home Remote Data Entry Assistant,$30 an hour,1 day ago
Veradigm,Principal Data Scientist - Remote,"$200,000 - $250,000 a year",12 days ago
Aquent,Jr Consumer Data Analytics Consultant (Circana),$43 - $46 an hour,2 days ago
Marriott,Srmgr - Data Security and Governance,"$96,038 - $209,169 a year",11 days ago
MERU,"Analytics Engineer, Data Insights","$105,000 - $155,000 a year",2 days ago
State Farm,Senior Data Scientist,"$99,600 - $167,812 a year",7 days ago
MD Anderson,Imaging Data Scientist - Digital Pathology,"$103,000 - $129,000 a year",1 day ago
University of Texas M.D. Anderson,Imaging Data Scientist - Digital Pathology,"$103,000 - $129,000 a year",1 day ago
UX Hires,"Data Analyst - Product Operations (Contract, Remote EU)",$45 an hour,Today
Tanson Corp,"W2 - Data Engineer (Datasets, Data Quality, Data Pipelines, SQL) -...",$41 - $46 an hour,2 days ago
Publicis Sapient,Senior Architect - Data Engineering,"$147,000 - $200,000 a year",18 days ago
CAI,Data Engineer,$24 an hour,1 day ago
Rise Technical,Junior Data Scientist (Geospatial/Remote Sensing),"$70,000 - $100,000 a year",11 days ago
Smith Hanley Associates,Data Analyst,"$60,000 - $80,000 a year",3 days ago
